--> Epoch 208: loss 0.9810; accuracy: 0.6381; best accuracy: 0.6531
--> Epoch 209: loss 1.2711; accuracy: 0.6413; best accuracy: 0.6531
--> Epoch 210: loss 0.9237; accuracy: 0.6296; best accuracy: 0.6531
--> Epoch 211: loss 0.8246; accuracy: 0.5996; best accuracy: 0.6531
--> Epoch 212: loss 0.9197; accuracy: 0.6113; best accuracy: 0.6531
--> Epoch 213: loss 1.2984; accuracy: 0.6306; best accuracy: 0.6531
--> Epoch 214: loss 0.8265; accuracy: 0.5728; best accuracy: 0.6531
--> Epoch 215: loss 1.4641; accuracy: 0.5728; best accuracy: 0.6531
--> Epoch 216: loss 1.2298; accuracy: 0.5824; best accuracy: 0.6531
--> Epoch 217: loss 0.9437; accuracy: 0.5589; best accuracy: 0.6531
--> Epoch 218: loss 0.9989; accuracy: 0.6060; best accuracy: 0.6531
--> Epoch 219: loss 1.0641; accuracy: 0.6370; best accuracy: 0.6531
--> Epoch 220: loss 1.0723; accuracy: 0.5578; best accuracy: 0.6531
--> Epoch 221: loss 1.2598; accuracy: 0.5642; best accuracy: 0.6531
--> Epoch 222: loss 1.1195; accuracy: 0.5942; best accuracy: 0.6531
--> Epoch 223: loss 1.1229; accuracy: 0.5760; best accuracy: 0.6531
--> Epoch 224: loss 0.8049; accuracy: 0.5707; best accuracy: 0.6531
--> Epoch 225: loss 0.9886; accuracy: 0.6445; best accuracy: 0.6531
--> Epoch 226: loss 0.9965; accuracy: 0.5996; best accuracy: 0.6531
--> Epoch 227: loss 0.9294; accuracy: 0.6049; best accuracy: 0.6531
--> Epoch 228: loss 0.8585; accuracy: 0.6435; best accuracy: 0.6531
--> Epoch 229: loss 1.1515; accuracy: 0.6092; best accuracy: 0.6531
--> Epoch 230: loss 1.0638; accuracy: 0.6274; best accuracy: 0.6531
--> Epoch 231: loss 1.0209; accuracy: 0.5814; best accuracy: 0.6531
--> Epoch 232: loss 0.9793; accuracy: 0.5567; best accuracy: 0.6531
--> Epoch 233: loss 1.1040; accuracy: 0.6435; best accuracy: 0.6531
--> Epoch 234: loss 0.8764; accuracy: 0.6306; best accuracy: 0.6531
--> Epoch 235: loss 1.1587; accuracy: 0.6381; best accuracy: 0.6531
--> Epoch 236: loss 0.9217; accuracy: 0.5782; best accuracy: 0.6531
--> Epoch 237: loss 0.9793; accuracy: 0.5353; best accuracy: 0.6531
--> Epoch 238: loss 1.2358; accuracy: 0.6531; best accuracy: 0.6531
--> Epoch 239: loss 0.9988; accuracy: 0.6242; best accuracy: 0.6531
--> Epoch 240: loss 0.7202; accuracy: 0.5610; best accuracy: 0.6531
--> Epoch 241: loss 1.1221; accuracy: 0.6381; best accuracy: 0.6531
--> Epoch 242: loss 1.1886; accuracy: 0.5857; best accuracy: 0.6531
--> Epoch 243: loss 0.8572; accuracy: 0.6253; best accuracy: 0.6531
--> Epoch 244: loss 1.0525; accuracy: 0.5642; best accuracy: 0.6531
--> Epoch 245: loss 0.9497; accuracy: 0.6242; best accuracy: 0.6531
--> Epoch 246: loss 1.0229; accuracy: 0.5846; best accuracy: 0.6531
--> Epoch 247: loss 1.1555; accuracy: 0.6574; best accuracy: 0.6574
