time,ADS.fAHUFanSUPSpeedActADSInternalValuesMirror,ADS.fAHUTempEHAADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUTempODAADSInternalValuesMirror,ADS.fAHUTempSUPADSInternalValuesMirror,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.fAHURHValveActADSInternalValuesMirror,ADS.bAHUPHPumpOperatingADSInternalValuesMirror
2023-11-18T13:30:00Z,60.0,12.530198021690444,19.17524772115273,7.741089093803179,20.85544504977689,0.0,28.392574196994893,0.0
2023-11-18T13:45:00Z,60.0,12.643434351140803,19.17080817559753,7.966565647510567,20.791211677320074,0.0,31.1672004699707,0.0
2023-11-18T14:00:00Z,59.99251075744629,12.710199804306031,19.14719955444336,7.9781999588012695,20.868599796295165,0.0,26.53878772619999,0.0
2023-11-18T14:15:00Z,60.0,12.719300107955933,19.143199462890625,7.880800113677979,20.800099239349365,0.0,28.75719955444336,0.0
2023-11-18T14:30:00Z,59.99223036813264,12.67940602444186,19.135544521973866,7.855544628483234,20.84227743243227,0.0,28.899999618530273,0.0
2023-11-18T14:45:00Z,60.0,12.688080768392544,19.103434803509952,7.950605989706637,20.800201261886443,0.0,29.648383805246063,0.0
2023-11-18T15:00:00Z,59.99702392578125,12.749000005722046,19.107400550842286,8.070900239944457,20.83890003204346,0.0,28.34770029067993,0.0
2023-11-18T15:15:00Z,59.99947719381313,12.827800178527832,19.096300296783447,8.161300039291381,20.833500099182128,0.0,28.143499279022215,0.0
2023-11-18T15:30:00Z,60.0,12.86237631693925,19.072277144630355,8.238910750587388,20.83247522788473,0.0,27.709999084472656,0.0
2023-11-18T15:45:00Z,59.98816162109375,12.848586024660053,19.042626737344143,8.299596044752333,20.754949242177634,0.0,30.464949444086866,0.0
2023-11-18T16:00:00Z,60.0,12.878799886703492,19.042100563049317,8.33209997177124,20.826099739074706,0.0,29.007999973297117,0.0
2023-11-18T16:15:00Z,60.0,12.943800086975097,19.04060031890869,8.391799783706665,20.815899715423583,0.0,28.3936997795105,0.0
2023-11-18T16:30:00Z,59.99180406627089,12.98445500477706,19.035545368005735,8.462574297838872,20.80653432336184,0.0,29.142475165943107,0.0
2023-11-18T16:45:00Z,59.98819236755371,13.068989984916918,19.033435108685733,8.625757650895553,20.8056566065008,0.0,30.00979751047462,0.0
2023-11-18T17:00:00Z,60.0,13.190199880599975,19.027300624847413,8.839999990463257,20.86509969711304,0.0,27.8176003074646,0.0
2023-11-18T17:15:00Z,59.993032682926284,13.309541107317724,19.02055092907827,9.044403478639936,20.837706102143734,0.0,29.042936097591294,0.0
2023-11-18T17:30:00Z,60.0,13.415100088119507,19.025400581359865,9.205099830627441,20.845399703979492,0.0,29.81279981613159,0.0
2023-11-18T17:45:00Z,59.99209396362305,13.512700033187866,19.033800582885743,9.277400274276733,20.902099952697753,0.0,28.430299987792967,0.0
2023-11-18T18:00:00Z,60.0,13.543999767303466,19.055599365234375,9.321600103378296,20.907699489593504,0.0,27.853899478912354,0.0
2023-11-18T18:15:00Z,59.99235008239746,13.621000127792358,19.057399406433106,9.414999952316284,20.89339952468872,0.0,28.69849994659424,0.0
2023-11-18T18:30:00Z,60.0,13.657600326538086,19.059899463653565,9.50849980354309,20.907799758911132,0.0,29.277900562286376,0.0
2023-11-18T18:45:00Z,60.0,13.705300025939941,19.065799598693847,9.570100040435792,20.94669967651367,0.0,28.15139995574951,0.0
2023-11-18T19:00:00Z,60.0,13.73510006904602,19.07669984817505,9.627600145339965,20.961399936676024,0.0,27.550099754333495,0.0
2023-11-18T19:15:00Z,59.991968307495114,13.792500009536743,19.089800148010255,9.719191946164527,20.942222325488775,0.0,28.55909984588623,0.0
2023-11-18T19:30:00Z,60.0,13.880999994277953,19.096500301361083,9.848217907518443,20.968217113230487,0.0,29.088300037384034,0.0
2023-11-18T19:45:00Z,59.979567489624024,13.981600017547608,19.10940040588379,9.993000183105469,20.997499618530274,0.0,28.085500221252442,0.0
