time,ADS.fAHUHRBypValveSetADSInternalValuesMirror,ADS.fAHUHRBypValveAct1ADSInternalValuesMirror,ADS.fAHUPHValveSetADSInternalValuesMirror,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.eAHUPHPumpContModeADSInternalValuesMirror,ADS.bAHUPHPumpErrorADSInternalValuesMirror,ADS.fAHUPHPumpSpeedADSInternalValuesMirror,ADS.fAHUPHPumpVolFlowADSInternalValuesMirror,ADS.fAHUPHTempSupPrimADSInternalValuesMirror,ADS.fAHUPHTempRetPrimADSInternalValuesMirror,ADS.fAHUTempEHAADSInternalValuesMirror,ADS.fAHUHumEHAADSInternalValuesMirror,ADS.fAHUFlapEHAActADSInternalValuesMirror,ADS.fAHUFlapEHASetADSInternalValuesMirror,ADS.fAHUFlapODAActADSInternalValuesMirror,ADS.fAHUFlapODASetADSInternalValuesMirror,ADS.fAHUTempODAADSInternalValuesMirror,ADS.fAHUHumODAADSInternalValuesMirror
2023-02-17T14:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,80.52093080032704,70.87209302325581,16.241162854571677,65.8523808433896,99.61000061035156,100.0,99.49857221330915,100.0,13.947674374247706,76.42790683480196
2023-02-17T14:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,78.90697656675826,69.24186067802961,16.3165116421012,65.07674425701762,99.61000061035156,100.0,99.45581480514171,100.0,13.963953528293343,75.16279069767442
2023-02-17T15:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,76.30714343843006,67.21190443493072,16.083809648241317,65.32857077462333,99.61000061035156,100.0,99.48928651355561,100.0,13.421190466199603,76.26666732061477
2023-02-17T15:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,80.667441789494,71.3209299486737,15.847209331601166,65.68139435524164,99.61000061035156,100.0,99.52837283112282,100.0,12.982325509537098,77.7209305874137
2023-02-17T15:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,80.01395327545876,70.51627864394077,15.710465054179346,65.76744274760402,99.61000061035156,100.0,99.51930307787518,100.0,12.728837168493936,78.90465208541515
2023-02-17T15:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,78.71666681198846,69.56666673932757,15.650476274036226,65.84047826131184,99.61000061035156,100.0,99.55428641183036,100.0,12.537619068509056,79.9404765537807
2023-02-17T16:00:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,81.9930235396984,72.5604652582213,15.560930340789085,65.98604672454124,99.61000061035156,100.0,99.51023332462755,100.0,12.29813952778661,80.95581427285838
2023-02-17T16:15:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,82.29285776047479,72.77857099260602,15.449523698715936,66.27857081095378,99.61000061035156,100.0,99.5011635713799,100.0,12.02857140132359,82.11428542364212
2023-02-17T16:30:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,81.416279105253,71.90465066599292,15.277441845383755,66.85581313732058,99.61000061035156,100.0,99.40571521577381,100.0,11.815581454787143,83.62558214054552
2023-02-17T16:45:00Z,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,73.78837212850881,64.44883719155955,14.967674432798873,68.29069802927417,99.61000061035156,100.0,99.59186110385629,100.0,11.365348838096441,87.04418625942496
