time,ADS.fAHUFlapETAActADSInternalValuesMirror,ADS.fAHUFlapETASetADSInternalValuesMirror,ADS.fAHUFanETASpeedActADSInternalValuesMirror,ADS.fAHUFanETASpeedSetADSInternalValuesMirror,ADS.fAHUFanETAVdpActADSInternalValuesMirror,ADS.fAHUFanETAVolFlowActADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUHumETAADSInternalValuesMirror
2023-05-07T01:30:00Z,99.61000061035156,100.0,50.0,50.0,437.85,7287.087685546875,21.43589994430542,54.81000011444092
2023-05-07T01:45:00Z,99.61000061035156,100.0,50.0,50.0,439.2,7296.227236328125,21.289600162506105,55.28000019073486
2023-05-07T02:00:00Z,99.61000061035156,100.0,50.0,50.0,438.06,7285.702119140625,21.184900169372558,55.48500022888184
2023-05-07T02:15:00Z,99.61000061035156,100.0,50.0,50.0,439.77,7299.654672851562,21.16529996871948,55.41100051879883
2023-05-07T02:30:00Z,99.61000061035156,100.0,50.0,50.0,438.59,7289.632553710938,21.151099643707276,55.227000312805174
2023-05-07T02:45:00Z,99.61000061035156,100.0,50.0,50.0,439.86,7299.18076171875,21.074600467681886,55.412000007629395
2023-05-07T03:00:00Z,99.61000061035156,100.0,50.0,50.0,439.0,7291.466533203125,21.01210014343262,55.55399898529053
2023-05-07T03:15:00Z,99.61000061035156,100.0,50.0,50.0,439.55,7298.260463867187,21.146799907684326,54.92299983978271
2023-05-07T03:30:00Z,99.61000061035156,100.0,50.0,50.0,440.76,7309.61955078125,21.29999973297119,54.42700023651123
2023-05-07T03:45:00Z,99.61000061035156,100.0,50.0,50.0,440.86,7308.928583984375,21.200300025939942,54.77600025177002
2023-05-07T04:00:00Z,99.58270065307617,100.0,50.0,50.0,441.38,7312.441606445313,21.123900051116944,55.027999572753906
2023-05-07T04:15:00Z,99.53200073242188,100.0,50.0,50.0,434.12,7252.3934375,21.14279945373535,54.908000526428225
2023-05-07T04:30:00Z,99.61000061035156,100.0,50.0,50.0,433.69,7249.0475244140625,21.143099460601807,54.84700004577637
2023-05-07T04:45:00Z,99.61000061035156,100.0,50.0,50.0,431.9,7231.186025390625,21.03980016708374,55.20299983978271
2023-05-07T05:00:00Z,99.50470077514649,100.0,50.0,50.0,431.54,7228.7901220703125,20.981399574279784,55.54899948120117
2023-05-07T05:15:00Z,99.61000061035156,100.0,50.0,50.0,431.07,7226.882817382812,21.111299953460694,55.47500011444092
2023-05-07T05:30:00Z,99.61000061035156,100.0,50.0,50.0,431.13,7228.096713867188,21.31049997329712,55.338999633789065
2023-05-07T05:45:00Z,99.50860076904297,100.0,50.0,50.0,428.59,7207.031547851562,21.247500095367432,56.033999862670896
2023-05-07T06:00:00Z,99.61000061035156,100.0,50.0,50.0,431.18,7227.958100585937,21.16179988861084,56.48100028991699
2023-05-07T06:15:00Z,99.61000061035156,100.0,50.0,50.0,435.03,7260.634599609375,21.197200183868407,56.42500091552734
2023-05-07T06:30:00Z,99.61000061035156,100.0,50.0,50.0,444.01,7335.975317382812,21.252100048065184,56.451000709533695
2023-05-07T06:45:00Z,99.61000061035156,100.0,50.0,50.0,441.4,7313.7200390625,21.21949956893921,56.764999885559085
2023-05-07T07:00:00Z,99.61000061035156,100.0,50.0,50.0,442.08,7318.559155273438,21.144300003051757,57.411000175476076
2023-05-07T07:15:00Z,99.61000061035156,100.0,50.0,50.0,441.04,7311.076655273438,21.21169948577881,57.07100009918213
2023-05-07T07:30:00Z,99.61000061035156,100.0,50.0,50.0,440.94,7313.154106445312,21.446300277709963,56.171999855041506
2023-05-07T07:45:00Z,99.61000061035156,100.0,50.0,50.0,441.41,7317.0230078125,21.47669973373413,55.9910001373291
2023-05-07T08:00:00Z,99.61000061035156,100.0,50.0,50.0,441.72,7319.378251953125,21.43769983291626,55.89800140380859
2023-05-07T08:15:00Z,99.61000061035156,100.0,50.0,50.0,441.84,7321.5161962890625,21.5263000869751,55.84300018310547
2023-05-07T08:30:00Z,99.61000061035156,100.0,50.0,50.0,440.95,7315.486831054687,21.63529977798462,56.28300006866455
2023-05-07T08:45:00Z,99.61000061035156,100.0,50.0,50.0,438.18,7293.661298828125,21.732500228881836,56.5459992980957
2023-05-07T09:00:00Z,99.61000061035156,100.0,50.0,50.0,438.56,7298.35181640625,21.84479986190796,56.25599998474121
2023-05-07T09:15:00Z,99.61000061035156,100.0,50.0,50.0,436.74,7285.212158203125,22.006999988555908,55.98799961090088
2023-05-07T09:30:00Z,99.61000061035156,100.0,50.0,50.0,436.8,7288.668227539062,22.244199962615966,55.21699977874756
2023-05-07T09:45:00Z,99.61000061035156,100.0,50.0,50.0,435.1,7277.92265625,22.466599712371828,54.1510001373291
2023-05-07T10:00:00Z,99.61000061035156,100.0,50.0,50.0,433.9,7269.5119921875,22.5939001083374,53.592999954223636
2023-05-07T10:15:00Z,99.61000061035156,100.0,50.0,50.0,437.12,7296.844086914062,22.661699886322022,52.873999710083005
2023-05-07T10:30:00Z,99.61000061035156,100.0,50.0,50.0,436.01,7286.837895507812,22.657899799346925,52.210999755859376
2023-05-07T10:45:00Z,99.61000061035156,100.0,50.0,50.0,437.09,7295.221020507813,22.61469959259033,52.162999839782714
2023-05-07T11:00:00Z,99.61000061035156,100.0,50.0,50.0,437.43,7297.2430810546875,22.55020040512085,52.412999877929686
2023-05-07T11:15:00Z,99.50860076904297,100.0,50.0,50.0,436.37,7287.750151367188,22.495599899291992,52.79199996948242
2023-05-07T11:30:00Z,99.61000061035156,100.0,50.0,50.0,436.48,7288.293461914062,22.458399448394776,53.04699935913086
2023-05-07T11:45:00Z,99.50470077514649,100.0,50.0,50.0,437.16,7292.792475585938,22.421300106048584,53.41500003814697
2023-05-07T12:00:00Z,99.61000061035156,100.0,50.0,50.0,437.69,7297.2010546875,22.366799507141113,54.617999992370606
2023-05-07T12:15:00Z,99.61000061035156,100.0,50.0,50.0,436.77,7287.758491210938,22.228599662780763,56.34599998474121
2023-05-07T12:30:00Z,99.61000061035156,100.0,50.0,50.0,437.09,7289.0316552734375,22.11420021057129,57.66599990844727
