time,ADS.fAHUTempEHAADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUTempODAADSInternalValuesMirror,ADS.fAHUTempSUPADSInternalValuesMirror,ADS.fAHUPHTempAirOutADSInternalValuesMirror,ADS.fAHUCOTempOutADSInternalValuesMirror,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.fAHUCOValveActADSInternalValuesMirror
2023-01-09T16:00:00Z,13.021724174762594,19.690689941932416,6.039310373108963,18.712412998594086,19.744937633645947,19.103448670485925,28.040222102198108,30.88031190017174
2023-01-09T16:15:00Z,12.98999996843009,19.67482777299552,6.016551741238298,18.69241372470198,19.707185284844762,19.100000381469727,28.351880895680395,30.868735740924702
2023-01-09T16:30:00Z,13.03206910758183,19.652758302359747,6.078275861411259,18.680689910362506,19.69942434902849,19.100000381469727,27.16351265742861,30.90662088065312
2023-01-09T16:45:00Z,13.057500055858068,19.631785460880824,6.16249988760267,18.673571586608887,19.68269498007638,19.044827757210566,26.92974192755563,30.892939995075093
2023-01-09T17:00:00Z,13.080344890726023,19.594827849289466,6.241034425538162,18.659310176454742,19.66035632429452,19.0,28.43849201860099,30.875576087406703
2023-01-09T17:15:00Z,13.134827548059924,19.576551568919214,6.308965633655417,18.652758302359747,19.650885351772967,19.0,27.666208530294483,30.87820704229947
2023-01-09T17:30:00Z,13.189999942121835,19.576206733440532,6.357586285163617,18.666551721507105,19.648517477101294,19.0,25.9077315494932,30.870840598796978
2023-01-09T17:45:00Z,13.188620698863062,19.56413749168659,6.3903448828335465,18.664827544113685,19.63365212802229,19.0,26.20260166299754,30.88136416468127
2023-01-09T18:00:00Z,13.236428533281599,19.539286136627197,6.517857108797346,18.656428337097168,19.60544409070696,19.0,27.820673397609166,30.877154646248652
2023-01-09T18:15:00Z,13.310344860471528,19.50344835478684,6.645172349337874,18.66689655698579,19.574982478700836,18.97142846243722,28.621772568801354,30.87557601928711
2023-01-09T18:30:00Z,13.341034527482657,19.482413390587116,6.656551624166554,18.65310313783843,19.5582767355031,18.948275664757038,26.870125474600957,30.877154777789936
2023-01-09T18:45:00Z,13.268965589589087,19.47206839199724,6.55965518951416,18.634482087760137,19.554462038237475,18.899999618530273,27.51070344859156,30.869788071204876
2023-01-09T19:00:00Z,13.226206878135944,19.436896883208178,6.498965526449269,18.60758584121178,19.518025102286504,18.899999618530273,27.432118580259125,30.87610225019784
2023-01-09T19:15:00Z,13.135357175554548,19.398213931492396,6.335357189178467,18.55999973842076,19.48582567487444,18.882758173449286,27.188801220485143,30.872945193586677
2023-01-09T19:30:00Z,12.919999846096697,19.372413898336475,5.994137944846318,18.476896088698815,19.42055287854425,18.799999237060547,27.863366686064623,30.87884589603969
2023-01-09T19:45:00Z,12.815862030818545,19.360000478810278,5.804827723009833,18.42241359579152,19.395032948461072,18.799999237060547,27.29357943041571,30.880311702859814
2023-01-09T20:00:00Z,12.737241383256583,19.341379494502625,5.762069044442012,18.37965439105856,19.366223433922077,18.786206344078327,28.317250876591125,30.87610225019784
2023-01-09T20:15:00Z,12.712758557549838,19.320344530302904,5.705172292117415,18.35827584102236,19.352279268462084,18.700000762939453,29.828979426416858,30.888730673954406
2023-01-09T20:30:00Z,12.655357156481061,19.29535702296666,5.4832143272672385,18.33464288711548,19.318247658865793,18.700000762939453,27.549346787588938,30.898201909558527
