time,ADS.fAHUTempEHAADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUTempODAADSInternalValuesMirror,ADS.fAHUTempSUPADSInternalValuesMirror,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.fAHUCOValveActADSInternalValuesMirror
2022-11-08T08:00:00Z,15.256186477208542,21.427627369508905,13.197118646007473,20.58177962545621,0.0,30.851006281577934
2022-11-08T08:15:00Z,15.131282154311481,21.44316288548657,12.97905976548154,20.564700428237263,0.0,30.852558071330442
2022-11-08T08:30:00Z,15.156923082139757,21.505812098837307,13.023760746686886,20.592734931880592,0.0,30.851523480172883
2022-11-08T08:45:00Z,15.2250847412368,21.513390136977375,13.107711897058001,20.627795849816273,0.0,30.85592025821492
2022-11-08T09:00:00Z,15.368034216073843,21.50119641295865,13.338717933393951,20.643760126880093,0.0,30.869886139691886
2022-11-08T09:15:00Z,15.806610147831803,21.58042728391468,13.969572613381931,20.802734717344627,0.0,30.847385454986053
2022-11-08T09:30:00Z,16.008983353437003,21.577626988039178,14.159152653257726,20.90008436623266,0.0,30.84734671910604
2022-11-08T09:45:00Z,16.262333408991495,21.67191653251648,14.529333345095317,20.980999851226805,0.0,30.86262509001403
2022-11-08T10:00:00Z,16.741709391276043,21.788119748107388,15.124529920072638,21.209914346026558,0.0,30.85436848462638
2022-11-08T10:15:00Z,16.95737297252073,21.87381353216656,15.376440654366704,21.332965705354336,0.0,30.861351595086568
2022-11-08T10:30:00Z,17.357435813316933,22.0192242161981,15.843534469604492,21.5325860483893,0.0,30.848420062307586
2022-11-08T10:45:00Z,17.404321912991797,22.179237365722656,15.7860169733985,21.690677448854608,0.0,30.85126492128534
2022-11-08T11:00:00Z,17.51042710002671,22.221879730876694,15.983589710333408,21.76136740660056,0.423728813559322,30.852299383131125
2022-11-08T11:15:00Z,17.995847653534454,22.364999997413765,16.58118624606375,21.96262686131364,0.0,30.85100624924999
2022-11-08T11:30:00Z,18.288389723179705,22.529152563062766,16.912626945366295,22.181270971136577,0.0,30.834453986862957
2022-11-08T11:45:00Z,18.374152393664342,22.59440703311209,16.904237262273238,22.292372606568417,0.0,30.846092321104923
2022-11-08T12:00:00Z,18.19333330790202,22.62461561219305,16.58128197172768,22.300426597269173,0.0,30.848840012509598
2022-11-08T12:15:00Z,18.02537820319168,22.614622019920027,16.339237326282564,22.28305061792923,0.0,30.853905541556223
2022-11-08T12:30:00Z,17.847692212487896,22.66017079149556,16.123982962915452,22.260678210500945,0.0,30.85074751255876
2022-11-08T12:45:00Z,17.93888862044723,22.64925886083532,16.295555503280074,22.275740870723016,0.0,30.85832046794
2022-11-08T13:00:00Z,17.99650935406955,22.65330183281089,16.3352829375357,22.3012256802253,0.0,30.851967631645923
2022-11-08T13:15:00Z,17.964000066121418,22.67855792779189,16.25155337805887,22.324465816460766,0.0,30.84045120455184
2022-11-08T13:30:00Z,17.860689788029113,22.633103387109166,16.12974142206126,22.268275869303736,0.0,30.855403027292024
2022-11-08T13:45:00Z,17.8180508856046,22.671356152679962,16.05703410455736,22.25762729321496,0.0,30.8566961935011
2022-11-08T14:00:00Z,17.692075495450002,22.6550942726855,15.896603728240391,22.23528268202296,0.0,30.84723770504906
2022-11-08T14:15:00Z,17.60186466928256,22.5970340017545,15.805932222786597,22.16220310987052,0.0,30.833160772161968
2022-11-08T14:30:00Z,17.627287945504914,22.678390098830402,15.854237217014118,22.192796222234175,0.0,30.84928932510504
2022-11-08T14:45:00Z,17.669159720925723,22.687227361342487,15.904537609645299,22.231007968678195,0.0,30.855230569839478
2022-11-08T15:00:00Z,17.683644456378484,22.689068309331343,15.918474601486983,22.227372363462287,0.0,30.848318311903213
2022-11-08T15:15:00Z,17.727118524454408,22.71652515863968,15.976525209717831,22.243050688404146,0.0,30.84893722857459
2022-11-08T15:30:00Z,17.688135357226354,22.7691529160839,15.869406675888321,22.289828357533512,0.0,30.83910935612048
2022-11-08T15:45:00Z,17.594067912990763,22.78610213328216,15.751186338521666,22.273529597691127,0.0,30.83910933995651
2022-11-08T16:00:00Z,17.570423546483962,22.754576375928977,15.722542374821032,22.243135436106538,0.0,30.849971803568177
2022-11-08T16:15:00Z,17.542931178520465,22.755517367658943,15.696206964295486,22.231465093020734,0.0,30.850405130630886
2022-11-08T16:30:00Z,17.5431357399892,22.732881141921222,15.704491607213425,22.233474198034255,0.0,30.861882022303394
2022-11-08T16:45:00Z,17.515424081834695,22.66364411176261,15.70050838438131,22.17999994956841,0.0,30.851782119880287
2022-11-08T17:00:00Z,17.529068348771435,22.558729252572785,15.744830503302106,22.119745626287944,0.0,30.840919720924507
2022-11-08T17:15:00Z,17.471101599224543,22.54830499422752,15.648389840530136,22.08889843245684,0.0,30.842212822477695
2022-11-08T17:30:00Z,17.42432211213193,22.482203257285942,15.617542428485418,22.042881173602606,0.0,30.846092369596835
2022-11-08T17:45:00Z,17.36762711153192,22.390592752876927,15.561949220754332,21.95999966637563,0.0,30.85126495361328
2022-11-08T18:00:00Z,17.377435782016853,22.402051012740177,15.589658223665678,21.956922156179054,0.0,30.843506069506628
2022-11-08T18:15:00Z,17.334322298987438,22.327119099891792,15.530084731215137,21.911864086733026,0.0,30.84231899946164
2022-11-08T18:30:00Z,17.23262672101037,22.26898348533501,15.426271163811117,21.819830199419442,0.0,30.841695672374662
2022-11-08T18:45:00Z,17.192966170230154,22.255678096060027,15.362457679489912,21.7959314604937,0.0,30.84195426359015
2022-11-08T19:00:00Z,17.097372976400084,22.208813360181907,15.23703390056804,21.747626838037522,0.0,30.84324747829114
2022-11-08T19:15:00Z,16.9635591506958,22.21305068064544,15.073474690065545,21.692541914471125,0.0,30.85876506870076
2022-11-08T19:30:00Z,16.90378121768727,22.203644089779612,15.02169495922024,21.653728517435365,0.0,30.85621380204914
2022-11-08T19:45:00Z,16.898739245759337,22.215293691939667,15.01781522927164,21.66386548210593,0.0,30.853905557584362
2022-11-08T20:00:00Z,16.837948823586487,22.214529445028713,14.94034181904589,21.650085090572,0.0,30.853851108227747
2022-11-08T20:15:00Z,16.929491414862163,22.20271199436511,15.098474599547306,21.657881154852397,0.0,30.849713293172545
2022-11-08T20:30:00Z,16.982222076155182,22.221281426584618,15.137948737185226,21.690085565941967,0.0,30.849883381118122
2022-11-08T20:45:00Z,16.95966048159842,22.204322136054603,15.104491654088942,21.685508420911887,0.0,30.856696274320957
2022-11-08T21:00:00Z,16.94186474105059,22.16762714062707,15.090678077633099,21.649914870827885,0.0,30.852040824243577
2022-11-08T21:15:00Z,16.895592738006073,22.163559250912424,15.02059323908919,21.632626339540643,0.0,30.844929687115325
2022-11-08T21:30:00Z,16.841949171939138,22.151271141181557,14.936949042950646,21.621779296357754,0.0,30.850488953671213
2022-11-08T21:45:00Z,16.721949270216086,22.086525496789964,14.808728783817614,21.53991523031461,0.0,30.85359263016006
2022-11-08T22:00:00Z,16.655470236753807,22.10153887822078,14.710683684063772,21.511196837465988,0.0,30.85849106617463
2022-11-08T22:15:00Z,16.540940162463066,22.071795080462074,14.555811996133919,21.480683530497753,0.0,30.836264448650812
2022-11-08T22:30:00Z,16.405762817900058,22.02296656269138,14.412542399713548,21.390677468251372,0.0,30.851523577156712
2022-11-08T22:45:00Z,16.310169818037647,22.00822052713168,14.282033912206101,21.35110169750149,0.0,30.842730085728533
2022-11-08T23:00:00Z,16.26084770590572,21.954915466955153,14.252033904447394,21.314236851061803,0.0,30.84919591677391
2022-11-08T23:15:00Z,16.234444186218784,21.929231056800255,14.235299216376411,21.27965809748723,0.0,30.845442347165918
2022-11-08T23:30:00Z,16.187712200617387,21.862542669651873,14.197203337135962,21.216440103821835,0.0,30.843884117582924
2022-11-08T23:45:00Z,16.15820527688051,21.846666939238197,14.164188001909826,21.18350459367801,0.0,30.837557501712087
2022-11-09T00:00:00Z,16.045339244907186,21.855339244260627,14.02025424019765,21.152711545006703,0.0,30.84945460497323
2022-11-09T00:15:00Z,16.012016969568588,21.84378175174489,13.97798317019679,21.124621030663242,0.0,30.84723762704545
2022-11-09T00:30:00Z,15.932268735741367,21.87310935268883,13.852520934673919,21.131091718914128,0.0,30.849032890896837
2022-11-09T00:45:00Z,15.822991591233473,21.894016575609516,13.715897282983503,21.111965815226238,0.0,30.851782103716317
2022-11-09T01:00:00Z,15.747203430886996,21.891779091398593,13.61406796665515,21.07635577250335,0.0,30.858248080237438
2022-11-09T01:15:00Z,15.635470039824135,21.889486622606587,13.454102483570066,21.053674697875977,0.0,30.855661634671485
2022-11-09T01:30:00Z,15.607142913241347,21.879663483435365,13.463025181233382,21.040419778903992,0.0,30.836522991374387
2022-11-09T01:45:00Z,15.574322078187587,21.837033983004297,13.423559051449017,21.002118692559712,0.0,30.844281940136927
2022-11-09T02:00:00Z,15.467863245906992,21.797948657956898,13.27880341782529,20.94119634383764,0.0,30.84727500850319
2022-11-09T02:15:00Z,15.44188024243738,21.766153710520165,13.275384585062662,20.910769095787636,0.0,30.842988790091823
2022-11-09T02:30:00Z,15.395677922135693,21.7477965597379,13.226610175633835,20.881439871707205,0.0,30.852040824243577
2022-11-09T02:45:00Z,15.474576222694527,21.706610146215407,13.381525354870295,20.86677937588449,0.0,30.85385123753952
2022-11-09T03:00:00Z,15.549237275527695,21.640932309425484,13.44898294190229,20.841355970350364,0.0,30.85307535074525
2022-11-09T03:15:00Z,15.543793234331854,21.675258817343877,13.442844752607675,20.85000021704312,0.0,30.845833697561492
