time,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.fAHUPHValveSetADSInternalValuesMirror,ADS.eAHUPHPumpContModeADSInternalValuesMirror,ADS.bAHUPHPumpErrorADSInternalValuesMirror,ADS.bAHUPHPumpOperatingADSInternalValuesMirror,ADS.fAHUPHPumpPowerADSInternalValuesMirror,ADS.fAHUPHPumpPressureADSInternalValuesMirror,ADS.bAHUPHPumpSetOnADSInternalValuesMirror,ADS.fAHUPHPumpSetpointADSInternalValuesMirror,ADS.fAHUPHPumpSpeedADSInternalValuesMirror,ADS.fAHUPHPumpVolFlowADSInternalValuesMirror,ADS.fAHUPHTempSupPrimADSInternalValuesMirror,ADS.fAHUPHTempRetPrimADSInternalValuesMirror,ADS.fAHUPHTempSupADSInternalValuesMirror,ADS.fAHUPHTempRetADSInternalValuesMirror
2023-03-27T01:30:00Z,38.52920577549698,38.50352670650671,6.0,0.0,1.0,27.03960396039604,0.2939999997615814,1.0,50.0,2307.4950495049507,1.503960396983836,63.03960407370388,45.618811881188115,28.633663404105913,20.301980103596602
2023-03-27T01:45:00Z,35.27418117523193,35.272468147277834,6.0,0.0,1.0,27.04,0.2939999997615814,1.0,50.0,2307.21,1.5110000026226045,71.55699981689453,52.498000106811524,28.57999982833862,20.378999881744384
2023-03-27T02:00:00Z,35.21764385110081,35.22688047956712,6.0,0.0,1.0,27.099009900990097,0.2938019801484476,1.0,50.0,2307.2178217821784,1.5099009924595899,75.27821833544438,55.94950473898708,28.513861382361686,20.37326722097869
2023-03-27T02:15:00Z,36.32963050842285,36.31995662689209,6.0,0.0,1.0,27.11,0.2939999997615814,1.0,50.0,2307.6,1.512000002861023,75.0509992980957,56.059000129699704,28.630000038146974,20.435999984741212
2023-03-27T02:30:00Z,35.05029460906982,35.05858097076416,6.0,0.0,1.0,27.08,0.2939999997615814,1.0,50.0,2307.18,1.5150000035762787,73.28700080871582,54.64899974822998,28.729999828338624,20.45899984359741
2023-03-27T02:45:00Z,36.800912573786064,36.793561538847364,6.0,0.0,1.0,27.02970297029703,0.2939999997615814,1.0,50.0,2307.3267326732675,1.503960396983836,72.26930735370901,53.58811909137386,29.324752618770788,20.691088931395274
2023-03-27T03:00:00Z,37.55689624786377,37.562414932250974,6.0,0.0,1.0,27.12,0.2939999997615814,1.0,50.0,2307.43,1.5020000004768372,71.49300148010254,52.79700023651123,29.635000228881836,20.807999954223632
2023-03-27T03:15:00Z,35.78651624622911,35.778414395776124,6.0,0.0,1.0,27.07920792079208,0.2939999997615814,1.0,50.0,2307.2772277227723,1.5128712901974668,72.21089104378578,53.54554446380917,29.584158510264785,20.946534449511237
2023-03-27T03:30:00Z,35.39346641540527,35.382851905822754,6.0,0.0,1.0,27.08,0.2939999997615814,1.0,50.0,2307.48,1.5110000026226045,73.7029997253418,54.964999732971194,29.095000190734865,20.633000354766846
2023-03-27T03:45:00Z,35.201635757295215,35.19852360640422,6.0,0.0,1.0,27.15841584158416,0.2939009899550145,1.0,50.0,2307.138613861386,1.5059405954757539,73.94455431947614,55.25940628807143,28.875247747591228,20.503960637762994
