time,ADS.fAHUPHValveActADSInternalValuesMirror,ADS.fAHUPHValveSetADSInternalValuesMirror,ADS.eAHUPHPumpContModeADSInternalValuesMirror,ADS.bAHUPHPumpErrorADSInternalValuesMirror,ADS.bAHUPHPumpOperatingADSInternalValuesMirror,ADS.fAHUPHPumpPowerADSInternalValuesMirror,ADS.fAHUPHPumpPressureADSInternalValuesMirror,ADS.bAHUPHPumpSetOnADSInternalValuesMirror,ADS.fAHUPHPumpSetpointADSInternalValuesMirror,ADS.fAHUPHPumpSpeedADSInternalValuesMirror,ADS.fAHUPHPumpVolFlowADSInternalValuesMirror,ADS.fAHUPHTempSupPrimADSInternalValuesMirror,ADS.fAHUPHTempRetPrimADSInternalValuesMirror,ADS.fAHUPHTempSupADSInternalValuesMirror,ADS.fAHUPHTempRetADSInternalValuesMirror
2023-04-12T17:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.46200065612793,47.73800037384033,9.038000144958495,35.049999732971195
2023-04-12T17:45:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.492000617980956,47.78300048828125,8.952999820709229,35.1389998626709
2023-04-12T18:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.25049515525893,47.56732630965733,8.899999618530273,35.131683349609375
2023-04-12T18:15:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.312999877929684,46.74699981689453,8.879999732971191,34.85199993133545
2023-04-12T18:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.09999941835309,46.53366289044371,8.770297107129995,34.62871241805577
2023-04-12T18:45:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.63699947357178,46.060999450683596,8.626000232696533,34.55700012207031
2023-04-12T19:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.73465335959255,46.150495170366646,8.5,34.44653516712755
2023-04-12T19:15:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.29000022888184,45.70499980926514,8.393999662399292,34.39900047302246
2023-04-12T19:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.10495081986531,45.553465059488126,8.193069420238533,34.26534664040745
2023-04-12T19:45:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.87200012207031,45.362999992370604,7.934000062942505,34.032999954223634
2023-04-12T20:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.93599975585938,45.424000091552735,7.791000156402588,33.97500038146973
2023-04-12T20:15:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.64752454096728,45.09009808833056,7.702970117625624,33.87326774974861
2023-04-12T20:30:00Z,23.161281776428222,23.924918479919434,2.792079207920792,0.0,0.45544554455445546,11.76,0.12622000008821488,1.0,23.0,1019.2,0.6540000012516975,55.152000198364256,41.89400001525879,17.872000064849853,29.315999736785887
2023-04-12T20:45:00Z,39.58776859245678,39.59216070647287,6.0,0.0,1.0,27.297029702970296,0.2938019801484476,1.0,50.0,2307.029702970297,1.518811885673221,49.1851485979439,33.875247653168024,25.055445661639222,19.270297022149116
2023-04-12T21:00:00Z,33.63437994003296,33.61622396469116,6.0,0.0,1.0,27.51,0.293400000333786,1.0,50.0,2306.73,1.5630000150203704,57.96200000762939,41.58899997711182,25.338000183105468,19.463999843597414
2023-04-12T21:15:00Z,33.931715804751555,33.95298151450582,6.0,0.0,1.0,27.712871287128714,0.2938019801484476,1.0,50.0,2306.5643564356437,1.5792079396767191,62.53465338980798,46.184158362964595,24.74554445247839,19.124752441255172
2023-04-12T21:30:00Z,38.22842845916748,38.23617679595947,6.0,0.0,1.0,27.44,0.2939999997615814,1.0,50.0,2306.95,1.5490000116825104,55.87200016021728,40.42100006103516,24.767999897003175,19.08800033569336
2023-04-12T21:45:00Z,39.57111045837402,39.552863883972165,6.0,0.0,1.0,27.21,0.29379999995231626,1.0,50.0,2307.14,1.5340000081062317,51.40499992370606,36.391000022888186,25.177999954223633,19.33400007247925
2023-04-12T22:00:00Z,33.66043744228854,33.646933017390786,6.0,0.0,1.0,27.485148514851485,0.2939999997615814,1.0,50.0,2306.633663366337,1.5584158555115804,57.83861394447855,41.82673267326733,25.258415656514686,19.611881407180636
2023-04-12T22:15:00Z,31.788688793182374,31.78571723937988,6.0,0.0,1.0,27.74,0.2939999997615814,1.0,50.0,2306.61,1.595000022649765,63.29499969482422,46.731000061035154,25.036000022888185,19.554000072479248
2023-04-12T22:30:00Z,36.45615016823948,36.472375850866335,6.0,0.0,1.0,27.673267326732674,0.29350495072874694,1.0,50.0,2306.5643564356437,1.5732673442009653,58.45148513340714,42.79306929182298,24.634653450238822,19.29603935468315
2023-04-12T22:45:00Z,39.38533164978028,39.39341873168945,6.0,0.0,1.0,27.27,0.2939999997615814,1.0,50.0,2307.14,1.5340000081062317,52.48200004577637,37.610000190734866,24.856000003814696,19.405999813079834
2023-04-12T23:00:00Z,35.14484896518216,35.11729468921624,6.0,0.0,1.0,27.455445544554454,0.2938019801484476,1.0,50.0,2307.019801980198,1.5594059547575394,55.87425738041944,40.188118849650465,25.496039588852685,19.86237622251605
