time,ADS.fAHUFlapETAActADSInternalValuesMirror,ADS.fAHUFlapETASetADSInternalValuesMirror,ADS.fAHUFanETASpeedActADSInternalValuesMirror,ADS.fAHUFanETASpeedSetADSInternalValuesMirror,ADS.fAHUFanETAVdpActADSInternalValuesMirror,ADS.fAHUFanETAVolFlowActADSInternalValuesMirror,ADS.fAHUTempETAADSInternalValuesMirror,ADS.fAHUHumETAADSInternalValuesMirror,ADS.fAHUFanSUPVdpActADSInternalValuesMirror,ADS.fAHUFanSUPVolFlowActADSInternalValuesMirror
2022-12-30T23:00:00Z,99.61000061035156,100.0,53.47511686127761,53.446522679822195,459.58620689655174,7442.639075969828,19.61620758319723,56.71379365592167,700.4137931034483,7420.274868669181
2022-12-30T23:15:00Z,99.61000061035156,100.0,53.48423964401771,53.459130254285085,457.9655172413793,7429.4691372575435,19.610345380059606,56.879310607910156,704.2068965517242,7442.914685479526
2022-12-30T23:30:00Z,99.5965523555361,100.0,53.46155442862675,53.44905748038456,459.51724137931035,7436.5950296336205,19.602069394341832,57.18620615992053,702.7586206896551,7435.004916487069
2022-12-30T23:45:00Z,99.56965584590517,100.0,53.42660877622407,53.43500032096073,458.62068965517244,7434.880303744612,19.62535728727068,57.39655251338564,701.4827586206897,7428.5520608836205
2022-12-31T00:00:00Z,99.61000061035156,100.0,53.41583699193494,53.4193449349239,458.1034482758621,7431.0899447737065,19.652758302359747,57.539285114833284,702.9642857142857,7436.462472098215
2022-12-31T00:15:00Z,99.61000061035156,100.0,53.454116685049875,53.45115688868931,456.4642857142857,7417.811540876116,19.659655011933424,57.67931037113584,701.8965517241379,7432.6107388200435
2022-12-31T00:30:00Z,99.5965523555361,100.0,53.4455654538911,53.43190515452418,459.1034482758621,7441.123855064655,19.65655149262527,57.793102790569435,700.7931034482758,7426.996548356681
2022-12-31T00:45:00Z,99.61000061035156,100.0,53.399104808938915,53.376561263511924,457.3448275862069,7425.097386853448,19.66965524081526,57.91724264210668,702.5172413793103,7436.777983566811
2022-12-31T01:00:00Z,99.61000061035156,100.0,53.36740072842302,53.4288251153354,456.7586206896552,7420.886179956897,19.717241221460803,57.910346195615574,700.551724137931,7427.095416891164
2022-12-31T01:15:00Z,99.5965523555361,100.0,53.395774841308594,53.440875086291086,457.51724137931035,7427.572955953664,19.75172417739342,58.04827538852034,700.6551724137931,7427.779179014009
2022-12-31T01:30:00Z,99.58310410072063,100.0,53.3478081801842,53.35813456568225,457.55172413793105,7427.844255118534,19.76482792558341,58.20000076293945,702.1379310344828,7435.872625942888
